stream_code,career_outcome_code,relationship_type,version,source_document
HUM-STR-MED-AUDIPODCANDRADI,CAR-HUM-MED-AUDIPODCANDRADI-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-BROAMEDI,CAR-HUM-MED-BROAMEDI-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-CONTINDU,CAR-HUM-MED-CONTINDU-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-CREAWRIT,CAR-HUM-MED-CREAWRIT-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-DIGICULTSTUD,CAR-HUM-MED-DIGICULTSTUD-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-DIGIMEDIANDCONT,CAR-HUM-MED-DIGIMEDIANDCONT-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-FILMDOCUANDSCRE,CAR-HUM-MED-FILMDOCUANDSCRE-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-JOUR,CAR-HUM-MED-JOUR-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-MEDIVERIANDFACT,CAR-HUM-MED-MEDIVERIANDFACT-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-MED-PUBLRELAANDSTRA,CAR-HUM-MED-PUBLRELAANDSTRA-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PERF-DANCPRAC,CAR-HUM-PERF-DANCPRAC-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PERF-DEVOANDSACRARTS,CAR-HUM-PERF-DEVOANDSACRARTS-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-PERF-FOLKPERFARTS,CAR-HUM-PERF-FOLKPERFARTS-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
